,Crude oil production (Mt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back to list of tables
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2019 - 2020 (%) ,2000 - 2020 (%/year) ,
World,3176,3176,3215,3242,3273,3325,3416,3511,3573,3509,3636,3645,3612,3764,3911,3956,3987,3983,4015,3912,4002,4041,4133,4149,4231,4333,4388,4376,4473,4456,4183,-6.1,0.7,
OECD,895,914,929,936,971,982,1008,1020,1017,990,1009,1005,1009,1003,974,923,907,898,862,863,866,868,914,966,1052,1098,1070,1107,1212,1284,1262,-1.7,1.1,
G7,611,610,612,611,633,637,639,641,639,623,616,604,610,598,580,548,550,554,541,557,573,584,639,701,791,845,823,875,995,1076,1036,-3.7,2.6,
BRICS,734,680,608,568,540,537,547,554,557,565,594,619,663,709,754,774,795,810,815,826,862,875,884,887,905,924,929,926,930,947,910,-3.9,2.2,
Europe,220,231,247,260,302,314,332,330,327,332,336,326,325,311,290,268,247,241,229,218,202,184,169,161,161,169,170,168,167,163,176,8.3,-3.2,
European Union,41,40,39,39,41,40,40,41,40,41,45,43,48,48,47,47,44,42,39,36,35,33,32,31,31,31,28,28,27,26,27,5.4,-2.5,
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-,
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-41.7,-6.3,
France,3,4,4,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-5.5,-3.6,
Germany,6,5,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,4,4,4,4,4,3,4,4,4,4,3,3,-3.0,-1.5,
Italy,5,4,5,5,5,5,6,6,6,5,5,4,6,6,6,6,6,7,6,5,6,6,6,6,6,6,4,4,5,5,6,28.4,1.2,
Netherlands,4,4,4,4,5,4,3,3,3,3,3,2,3,3,3,2,2,3,2,2,2,2,2,2,2,2,2,1,1,1,1,-6.8,-4.4,
Poland,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,-4.4,2.7,
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,-,
Romania,8,7,7,7,7,7,7,7,7,6,6,6,7,7,6,6,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,-3.1,-2.9,
Spain,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31.6,-10.0,
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,
United Kingdom,92,91,94,100,127,130,130,128,132,137,126,117,116,106,95,85,77,77,72,68,63,52,45,41,40,45,47,47,51,52,48,-7.0,-4.7,
Norway,82,94,107,114,129,139,157,157,150,149,161,163,158,154,144,133,124,120,115,110,100,94,88,83,84,88,90,89,84,80,95,18.8,-2.6,
Turkey,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2,3,3,3,3,3,3,4,4,7.7,1.9,
CIS,577,524,450,401,363,353,356,359,361,369,392,423,463,510,556,573,596,620,624,640,656,659,663,669,671,677,687,691,704,709,651,-8.1,2.6,
Kazakhstan,26,27,26,23,20,21,23,26,26,30,35,41,48,52,60,62,66,68,72,78,81,81,81,83,82,81,79,88,92,92,87,-5.4,4.6,
Russia,524,470,398,353,318,305,305,304,301,303,322,346,377,419,456,466,476,488,486,491,504,512,519,522,526,534,548,546,556,561,512,-8.6,2.4,
Ukraine,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,3,3,3,3,3,2,2,2,3,3,-1.3,-1.8,
Uzbekistan,3,3,3,4,6,8,8,8,8,8,8,7,7,7,7,6,6,5,5,5,4,3,3,3,3,3,3,3,3,3,3,4.9,-4.1,
America,886,906,912,918,926,948,988,1016,1022,994,1008,1019,1014,1016,1030,1018,1028,1014,1004,1008,1037,1067,1124,1190,1283,1321,1273,1297,1375,1433,1375,-4.1,1.6,
